Name,Tradition,Rank,Focus,Target,Range,Properties,Effect,Heightened
<strong>Storm Shield</strong>,Tempest,1,2,Medium (8),Self,quick,"You quickly conjure a personal barrier of swirling air. Cast this spell when you are attacked vs. your Parry or Dodge.<br/>On a success, you can defend with your Resist instead of Parry or Dodge until your next turn. When a melee attack against you fails, the attacker takes +0 blast damage (ignoring AV). If a ranged attack against you fails, you can divert the attack towards another creature in close range. If the ranged attack blunders, you can even divert it back to the attacker. When diverting an attack to another creature, it automatically hits with a weak success.<br/>",<strong>(Rank 2) </strong>Failed melee attacks inflict +2 blast damage (ignoring AV) instead. Diverted ranged attacks deal +2 damage.<br/><br/><strong>(Rank 3) </strong>Failed melee attacks inflict +4 blast damage (ignoring AV) instead. Diverted ranged attacks deal +4 damage.
<strong>Volcanic Bolt</strong>,Tempest,1,2,vs. Dodge,Medium,,You magically dissolve some earth or rock in your surroundings into lava. You can hurl the lava as a searing projectile against a creature.<br/><strong>Weak.</strong><em> </em>Deal +4 fire damage. <br/><strong>Strong.</strong> Deal +8 fire damage and they suffer burning (2) for a short duration.<br/><strong>Critical.</strong> Deal +12 fire damage and they suffer burning (4) for a short duration.,<strong>(Rank 2)</strong> Deal +6/+12/+18 fire damage instead and inflict burning (4/6) on a strong or critical success.<br/><br/><strong>(Rank 3) </strong>Deal +8/+16/+24 fire damage instead and inflict burning (6/8) on a strong or critical success.
<strong>Wind Hose</strong>,Tempest,1,2,vs. Dodge,Medium,,"You create a powerful swirl of air around the target location, pulling smaller, loose objects into it’s vortex.<br/><strong>Weak.</strong><em> </em>Deal +3 damage.<br/><strong>Strong.</strong> Deal +6 damage and if the target is medium or smaller in size, they are also grappled by the wind hose.<br/><strong>Critical.</strong> Deal +9 damage and if the target is medium or smaller in size, they are also grappled and restrained by the wind hose.<br/>When you successfully cast this spell against a target and it is grappled by the wind hose, you gain +1 boon when casting the spell again against the same target on your next turn.<br/>",<strong>(Rank 2)</strong> Choose one:<br/>- Deal +5/+10/+15 damage instead.<br/>- You can also target large creatures for grappling.<br/><br/><strong>(Rank 3)</strong> Choose one:<br/>- Deal +7/+14/+21 damage instead.<br/>- You can also target huge creatures for grappling.<br/>
<strong>Conjure Elemental</strong>,Tempest,2,4,Hard (10),Long,concentrate,"You conjure a being of pure elemental power. Choose either air, earth, fire, or water.<br/>On a success, an elemental creature of the chosen element appears at any point within range.<br/>Treat the elemental as your companion (see Mounts &amp; Companions for more). It is friendly towards you and your allies while you maintain concentration for this spell.<br/>The elemental has the statistics of a tier 2 companion. In addition, it gains a companion trait, according to which element you have chosen.<br/>You can dismiss the elemental as a Quick Action during your turn. Otherwise it remains until reduced to 0 HP or for a short duration.<br/>If you lose concentration on this spell, the elemental becomes hostile to you and your allies. Roll initiative for it and treat it as an enemy. You can’t dismiss the elemental anymore and it remains until reduced to 0 HP or after the spell’s duration.<br/>",<strong>(Rank 3)</strong> You conjure an elemental with the statistics of a tier 3 companion instead.
<strong>Lightning Bolt</strong>,Tempest,2,4,vs. Dodge,Medium,blast (line),"You summon a powerful bolt of lightning that streaks forth in a straight line from you to a target point, electrifying every creature it passes.<br/><strong>Weak.</strong> Deal +4 lightning damage to each target.<br/><strong>Strong.</strong> Deal +8 lightning damage to each target and they are briefly staggered.<br/><strong>Critical.</strong> Deal +12 lightning damage to each target and they are briefly staggered.",<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 lightning damage to each target instead.<br/>- Increase the spell‘s range to long.<br/>
<strong>Lightning Step</strong>,Tempest,2,4,Hard (10),Medium,quick,"In a sudden flash of lightning you move at the speed of sound to another place. Cast this spell on your turn.<br/>Choose any point within range you can see, where you would be able to move to by walking, climbing, swimming, or jumping.<br/>On a success, you instantly move to the chosen location (this isn’t teleportation) without provoking Opportunity Attacks. When you arrive, you produce a loud booming sound, dealing +2 blast damage to all creatures in close range of you. Your Movement for the rest of the turn becomes 0.<br/>",<strong>(Rank 3)</strong> Increase the spell’s range to long and deal +4 blast damage instead.
<strong>Magma Burst</strong>,Tempest,2,4,vs. Dodge,Medium,,"You channel the earth’s wrath, making the target location’s ground burst with lava. Target all creatures in melee range of it.<br/><strong>Weak.</strong><em> </em>Deal +4 fire damage to each target. <br/><strong>Strong.</strong> Deal +8 fire damage to each target and they suffer burning (2) for a short duration.<br/><strong>Critical.</strong> Deal +12 fire damage to each target and they suffer burning (4) for a short duration.<br/>The target location remains covered with cracks filled with lava for a short duration, after which it cools down and remains as solid rock.<br/>Each creature ending their turn in melee range of it automatically suffer the effects of a weak hit.<br/>If any creature has direct contact with the lava, they instead automatically suffer the effects of a critical hit.<br/>",<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 fire damage to each target and inflict burning (4/6) on a strong or critical success instead.<br/>- Target all creatures in close range of the target location instead.<br/>
<strong>Pyroclasm</strong>,Tempest,2,4,vs. Dodge,Short,blast (cone),"You slam the earth before you and it erupts with force, spitting flaming hot lava into the air.<br/><strong>Weak.</strong><em> </em>Deal +4 fire damage to each target. <br/><strong>Strong.</strong> Deal +8 fire damage to each target and they fall prone.<br/><strong>Critical.</strong> Deal +12 fire damage to each target, they fall prone, and their Movement briefly becomes 0.<br/>The area affected by this spell remains as broken ground and is considered difficult terrain.<br/>",<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 fire damage to each target instead.<br/>- Increase the spell‘s range to medium.<br/>
<strong>Storm Cloud</strong>,Tempest,2,4,Hard (10),Medium,concentrate,"You summon a dark cloud brewing with electricity. On a success, the cloud extends in close range of the target location and hovers up to a medium distance above it. Target up to three creatures below the cloud use your roll’s result vs. their Dodge.<br/><strong>Weak.</strong> Deal +4 lightning damage against each target.<br/><strong>Strong. </strong>Deal +8 lightning damage against each target.<br/><strong>Critical. </strong>Deal +12 lightning damage against each target.<br/>On each of your following turns, you can target another one creature with this spell and repeat the roll vs. Dodge. Before or after the roll, you can choose to move the cloud a short distance within range.<br/>The cloud lasts for a short duration.<br/>",<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 blast damage to each target instead.<br/>- Target up to five creatures below the cloud instead.<br/>
<strong>Thunder Clap</strong>,Tempest,2,4,vs. Resist,Short,,"You intensely clap your hands, summoning a thunderous shockwave that ripples outward from you. Target all creatures in range.<br/><strong>Weak. </strong>Deal +4 blast (ignoring 1/2 AV) damage to each target.<br/><strong>Strong. </strong>Deal +8 blast (ignoring 1/2 AV) damage to each target and they are knocked prone and briefly deafened.<br/><strong>Critical. </strong>Deal +12 blast damage (ignoring 1/2 AV) to each target and they are pushed close, knocked prone, and briefly deafened.",<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 blast damage to each target instead.<br/>- Increase the spell‘s range to medium.<br/>
<strong>Torrent</strong>,Tempest,2,4,vs. Parry,Medium,blast (line),"You create a high pressure stream of water, pulling anything in it’s way along with it.<br/><strong>Weak. </strong>Deal +4 damage to each target and they are pushed a close distance.<br/><strong>Strong. </strong>Deal +8 damage to each target and they are pushed a short distance.<br/><strong>Critical. </strong>Deal +12 damage to each target and they are pushed a short distance and fall prone.",<strong>(Rank 3)</strong> Choose one:<br/>- Deal +6/+12/+18 damage to each target instead.<br/>- Increase the spell‘s range to long.<br/>
<strong>Wind Ward</strong>,Tempest,2,6,Hard (10),Self,"concentrate, enchant (body)","A swirling storm forms around you and follows your movements. On a success, you create a strong wind centered around you and extending in close range. While the wind remains, it has the following effects:<br/>- You and every other creature in the wind’s area is deafened.<br/>- Small sources of flames (e.g. torches) are extinguished in the wind’s area.<br/>- The wind’s area is considered difficult terrain for every creature besides you.<br/>- Any ranged attacks moving in, out, or through the wind’s are suffer +1 bane.<br/>- While in the wind’s area, every other creature takes +2 damage at the start of each of their turns.<br/>The wind remains for a medium duration.<br/>",<strong>(Rank 3)</strong> The wind extends in short range of you and other creatures in the wind’s area takes +4 damage at the start of each of their turns instead.
<strong>Blessing of Peace</strong>,Peace,1,2,Medium (8),Touch,singular,"You bless a creature with the magical power of peace, calming their mind and making others like them more.<br/>On a success, the creature gains the following effects:<br/>- You gain +1 Resist.<br/>- You gain +1 boon on Influence and Insight rolls.<br/>This spell lasts for a long duration.<br/>","<strong>(Rank 2)</strong> The target gains resistance to blast and psychic damage for the spell‘s duration.<br/><br/><strong>(Rank 3)</strong> The target gains resistance to blast, physical, and psychic damage for the spell‘s duration."
<strong>Harmonic Link</strong>,Peace,1,2,Medium (8),Medium,concentrate,"You build a empathetic link with one of your allies, sharing your surface thoughts and senses.<br/>On a success, you establish the link between you and your ally. While the link holds, if either one of you takes damage, both of you take half of the damage instead.<br/>The link lasts for a medium duration or until you are further away from each other than the range of this spell.<br/>",<strong>(Rank 2) </strong>While the link holds you and your ally also gain the following effect(s):<br/>- You gain +1 on all Defenses.<br/><br/><strong>(Rank 3) </strong>While the link holds you and your ally also gain the following effect(s):<br/>- You gain +1 on all Defenses.<br/>- Attacks against a target both of you can perceive gain +1 boon.<br/>- Attacks from creatures both of you can perceive suffer +1 bane against you.<br/>
<strong>Pacifying Weapon</strong>,Peace,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of tranquility. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, the weapon‘s bearer gains +1 Parry (doesn‘t stack from dual-wielding weapons enchanted by this spell). On a strong or critical hit, the attack‘s target is briefly dazed. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon‘s bearer gains +1 on all Defenses instead (doesn‘t stack from dual-wielding weapons enchanted by this spell).<br/><br/><strong>(Rank 3) </strong>The weapon‘s bearer gains +2 on all Defenses instead (doesn‘t stack from dual-wielding weapons enchanted by this spell).
<strong>Share Harm</strong>,Peace,1,2,vs. Resist,Medium,quick,"Cast this spell after you have taken damage from an attack. On a success, the attacker takes the same amount of damage you took from them (ignoring AV).",<strong>(Rank 2)</strong> Add your Mysticism to the damage the attacker takes.<br/><br/><strong>(Rank 3)</strong> Add 2 x your Mysticism to the damage the attacker takes.
<strong>Curse of War</strong>,War,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of war, suffocating them in the agony of battle.<br/>On a success, the creature suffers the following effects:<br/>- They take +2 damage from any source.<br/>- Whenever they take 10 or more damage from one attack, they have to roll Spirit + Fortitude. On a failure, they are briefly frightened.<br/>This curse lasts for a long duration.<br/>",<strong>(Rank 2)</strong> The target takes +4 damage from any source.<br/><br/><strong>(Rank 3)</strong> The target takes +6 damage from any source.
<strong>Heroic Weapon</strong>,War,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of courage. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, the weapon deals +2 damage. On a strong or critical hit, the attack‘s target is briefly frightened. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon deals +4 damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon deals +6 damage instead.
<strong>Haste</strong>,War,2,4,Hard (10),Short,"concentrate, enchant (body)","You drastically heighten a creature’s senses, granting them supernatural speed at the cost of straining their body.<br/>Choose a willing creature in range. On a success, the target gains the following effects:<br/>- gain +1 Movement per turn<br/>- gain +1 Parry and Dodge<br/>- gain +1 boon on all Strength and Agility rolls<br/>- you can replace your Quick Action on your turn for a second Action<br/>The spell lasts for a short duration. When the spell ends, the target suffers one Fatigue and is briefly paralyzed.<br/>",<strong>(Rank 3)</strong> Choose a second target to also gain the spell‘s effects.
