Name,Tradition,Rank,Focus,Target,Range,Properties,Effect,Heightened
Thunder Clap,Tempest,2,4,vs. Resist,Short,,"You intensely clap your hands, summoning a thunderous shockwave that ripples outward from you. Target all creatures in range.Weak. Deal +4 blast (ignoring 1/2 AV) damage to each target.Strong. Deal +8 blast (ignoring 1/2 AV) damage to each target and they are knocked prone and briefly deafened.Critical. Deal +12 blast damage (ignoring 1/2 AV) to each target and they are pushed close, knocked prone, and briefly deafened.",(Rank 3) Choose one:- Deal +6/+12/+18 blast damage to each target instead.- Increase the spell‘s range to medium.
Torrent,Tempest,2,4,vs. Parry,Medium,blast (line),"You create a high pressure stream of water, pulling anything in it’s way along with it.Weak. Deal +4 damage to each target and they are pushed a close distance.Strong. Deal +8 damage to each target and they are pushed a short distance.Critical. Deal +12 damage to each target and they are pushed a short distance and fall prone.",(Rank 3) Choose one:- Deal +6/+12/+18 damage to each target instead.- Increase the spell‘s range to long.
Wind Ward,Tempest,2,6,Hard (10),Self,"concentrate, enchant (body)","A swirling storm forms around you and follows your movements. On a success, you create a strong wind centered around you and extending in close range. While the wind remains, it has the following effects:- You and every other creature in the wind’s area is deafened.- Small sources of flames (e.g. torches) are extinguished in the wind’s area.- The wind’s area is considered difficult terrain for every creature besides you.- Any ranged attacks moving in, out, or through the wind’s are suffer +1 bane.- While in the wind’s area, every other creature takes +2 damage at the start of each of their turns.The wind remains for a medium duration.",(Rank 3) The wind extends in short range of you and other creatures in the wind’s area takes +4 damage at the start of each of their turns instead.
Blessing of Peace,Peace,1,2,Medium (8),Touch,singular,"You bless a creature with the magical power of peace, calming their mind and making others like them more.On a success, the creature gains the following effects:- You gain +1 Resist.- You gain +1 boon on Influence and Insight rolls.This spell lasts for a long duration.","(Rank 2) The target gains resistance to blast and psychic damage for the spell‘s duration.(Rank 3) The target gains resistance to blast, physical, and psychic damage for the spell‘s duration."
Harmonic Link,Peace,1,2,Medium (8),Medium,concentrate,"You build a empathetic link with one of your allies, sharing your surface thoughts and senses.On a success, you establish the link between you and your ally. While the link holds, if either one of you takes damage, both of you take half of the damage instead.The link lasts for a medium duration or until you are further away from each other than the range of this spell.",(Rank 2) While the link holds you and your ally also gain the following effect(s):- You gain +1 on all Defenses.(Rank 3) While the link holds you and your ally also gain the following effect(s):- You gain +1 on all Defenses.- Attacks against a target both of you can perceive gain +1 boon.- Attacks from creatures both of you can perceive suffer +1 bane against you.
Pacifying Weapon,Peace,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of tranquility. If the target is dual-wielding, you can instead target both their held weapons.On a success, the weapon‘s bearer gains +1 Parry (doesn‘t stack from dual-wielding weapons enchanted by this spell). On a strong or critical hit, the attack‘s target is briefly dazed. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.",(Rank 2) The weapon‘s bearer gains +1 on all Defenses instead (doesn‘t stack from dual-wielding weapons enchanted by this spell).(Rank 3) The weapon‘s bearer gains +2 on all Defenses instead (doesn‘t stack from dual-wielding weapons enchanted by this spell).
Share Harm,Peace,1,2,vs. Resist,Medium,quick,"Cast this spell after you have taken damage from an attack. On a success, the attacker takes the same amount of damage you took from them (ignoring AV).",(Rank 2) Add your Mysticism to the damage the attacker takes.(Rank 3) Add 2 x your Mysticism to the damage the attacker takes.
Curse of War,War,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of war, suffocating them in the agony of battle.On a success, the creature suffers the following effects:- They take +2 damage from any source.- Whenever they take 10 or more damage from one attack, they have to roll Spirit + Fortitude. On a failure, they are briefly frightened.This curse lasts for a long duration.",(Rank 2) The target takes +4 damage from any source.(Rank 3) The target takes +6 damage from any source.
Heroic Weapon,War,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of courage. If the target is dual-wielding, you can instead target both their held weapons.On a success, the weapon deals +2 damage. On a strong or critical hit, the attack‘s target is briefly frightened. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.",(Rank 2) The weapon deals +4 damage instead.(Rank 3) The weapon deals +6 damage instead.
Haste,War,2,4,Hard (10),Short,"concentrate, enchant (body)","You drastically heighten a creature’s senses, granting them supernatural speed at the cost of straining their body.Choose a willing creature in range. On a success, the target gains the following effects:- gain +1 Movement per turn- gain +1 Parry and Dodge- gain +1 boon on all Strength and Agility rolls- you can replace your Quick Action on your turn for a second ActionThe spell lasts for a short duration. When the spell ends, the target suffers one Fatigue and is briefly paralyzed.",(Rank 3) Choose a second target to also gain the spell‘s effects.
